,D,E,C,I,B,H,J,F,A,G
D,0.0,45.0,0.0,1.0,1.0,73.0,1.0,2.0,90.0,2.0
E,0.0,0.0,2.0,0.0,1.0,69.0,0.0,2.0,35.0,0.0
C,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,57.0,0.0
I,0.0,0.0,0.0,0.0,609.0,205.0,140.0,656.0,212.0,68.0
B,0.0,0.0,0.0,0.0,0.0,192.0,193.0,712.0,245.0,247.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,1.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,19.0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
